,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
31,DahlanMahmud,"Pemerintah harus mencari solusi menghadapi krisis kemanusiaan yang menghancurkan sendi kehidupan bangsa kita, kita tidak perlu pesimis (mati suri) hanya karena covid 19, bangsa ini harus bangkit dan optimis untuk memerangi virus corona, kalau bukan presiden, siapa lagi,,,, ",2020-05-28 11:34:13+00:00,0,0,,
32,KabarBintaro,Skema new normal atau kondisi normal yang baru di tengah virus Corona sedang dipersiapkan. Termasuk di sarana transportasi seperti Kereta Rel Listrik (KRL) yang dilakukan dengan pengurangan kapasitas penumpang per 60… https://www.instagram.com/p/CAutieXDRG0/?igshid=j0mnqtuvut5h,2020-05-28 11:28:31+00:00,0,0,,
33,tkuzna,"Kangen solat di masjid sunda kelapa,Al mubarak,sekarang masjidnya masih tutup ,cepat entah kek nih virus corona ",2020-05-28 10:09:57+00:00,0,1,,
34,iwanchan_,Semoga dengan adanya bantuan ambulans dari @pertamina biaa memutus mata rantai penyebaran virus Corona ini ya gaes. ,2020-05-28 09:07:12+00:00,0,3,@pertamina,
35,SonoraFM92,Sektor pariwisata akan dibuka kembali menyusul rencana pemerintah untuk menerapkan fase new normal di tengah pandemi virus corona covid-19. http://nasional.kompas.com/read/2020/05/28/13205241/menpar-kalau-angka-covid-19-naik-pariwisata-dihentikan-lagi #BeritaSonora via @hariankompas,2020-05-28 07:22:43+00:00,0,0,@hariankompas,#BeritaSonora
36,andreyulio,"Belum bisa di prediksi...sulit untuk benar-benar nihil....: Virus corona di Korea Selatan: Lebih dari 100 kasus baru Covid-19 muncul terkait kelab malam Seoul, setelah Korsel catat 'penularan lokal nihil' ",2020-05-28 05:22:32+00:00,0,0,,
37,sautharitonang,"Mr. President do not you be angry to the https://twitter.com,That's because you too much drinking DISFECTANT, How are you Donald Trump, are still going strong , No you now is frustrated due to the corona-convid19 virus about 100.000 more people's, sad ",2020-05-28 05:13:58+00:00,0,2,,
38,SonoraFM92,Presiden Jokowi meminta ada protokol kesehatan yang ketat di sektor pariwisata untuk mencegah penyebaran virus corona. https://nasional.kompas.com/read/2020/05/28/11270831/ingin-buka-pariwisata-saat-new-normal-jokowi-akui-risikonya-besar #BeritaSonora via @kompascom,2020-05-28 04:45:12+00:00,0,0,@kompascom,#BeritaSonora
39,AlGhuyub,Istri kita bisa dicium dan mencium kita...lah virus corona bisa dicium? ,2020-05-28 04:43:39+00:00,0,0,,
40,AlGhuyub,"istri bisa dicium,..lah ingin cium virus corona? ",2020-05-28 04:42:26+00:00,0,0,,
41,sautharitonang,"After many countries & the world community understand that the corona-convid19 virus is the work of the devil XI Jin ping, D Trump &amp; the head of WHO &amp; to show as if they are angry with each other &amp; ready for conventional war, right DO DEVIL TO DEFINITELY YOU ARE DEVIL ",2020-05-28 03:02:47+00:00,0,1,,
42,KabarBintaro,"Pemerintah Kota Tangerang Selatan (Tangsel) masih memantau perkembangan kasus COVID-19 di daerahnya. Hal itu dilakukan sebelum diterapkannya tatanan hidup baru atau 'new normal' di tengah pandemi virus Corona. ""Kita… https://www.instagram.com/p/CAtzIBrDWzW/?igshid=qd11r0hd0mme",2020-05-28 02:58:07+00:00,0,0,,
43,LazuardiHigh," OPEN REGISTRATION ⠀ ⠀ Kamu siswa kelas IX, namun masih bingung ingin daftar sekolah karena harus #dirumahaja akibat virus corona?⠀ ⠀ Jangan khawatir, sila klik saja link di bio kami untuk tahu tentang informasi… https://www.instagram.com/p/CAtrD_SnVpu/?igshid=yqele49nqz33",2020-05-28 01:47:39+00:00,0,0,,#dirumahaja #dirumahaja
44,dido_myname,Nih liat Pak @jokowi mrk ud pd latihan. Berarti mengindikasikan konsep Negara Italia dlm menekan virus corona berhasil. Cobalah di ikuti. Negara jerman pun jg bisa jadi role model. Atau ngga usa jauh2. Bisa jg ke Vietnam. ,2020-05-28 01:27:55+00:00,0,0,@jokowi,
45,byan_mandala,"Gara-gara virus corona, pegawai kantoran dilarang lakukan tos. #lifebeforecovid19 #byehighfives Suasana kerja sebelum Covid-19 menyerang peradaban. @Gojek Indonesia https://www.instagram.com/p/CAspC6HBhwz/?igshid=12tmrf1rgvm27",2020-05-27 16:17:02+00:00,0,0,,#lifebeforecovid19 #byehighfives
46,adisoesanto,"Kalau vaksin buatan Indonesia mungkin saya pertimbangkan. Ingat....!!! tipe virus corona yang ada di Indonesia berbeda dengan yang beredar di AS, Eropa, maupun Cina (berdasarkan data dari Lembaga Biologi Molekuler Eijkman sebagimana disampaikan oleh menristek). ",2020-05-27 16:07:46+00:00,0,0,,
47,adisoesanto,"Menurut ibu Siti Fadillah Supari, hasil PCR Test juga bisa ""false"" karena ""Primer""-nya masih impor, sementara Virus Corona yang ada di Indonesia berbeda dengan yang beredar di dunia. Nah Loh...",2020-05-27 16:03:03+00:00,0,0,,
48,rizkyagnes,"Edisi bongkar foto lama di galeri HP. #throwback . . Ini foto tahun 2019, jauh di mana saat virus Corona belum ada di Indonesia. Foto ini diambil di dalam gerbong kereta Argo Sindoro relasi Pekalongan-Gambir… https://www.instagram.com/p/CAsZqNXnqIc/?igshid=2tmb83hwh8ok",2020-05-27 13:56:19+00:00,0,0,,#throwback
50,miqdadrifai,"Bagaimana jika ketahanan tubuh seseorang itu lemah? Bisa terjadi komplikasi penyakit lain, bahkan bisa menyebabkan kematian. Contohnya virus corona ini menyerang sistem pernapasan, maka orang-orang yang memiliki asma itu bisa menjadi bahaya kalo kena corona",2020-05-27 13:27:57+00:00,0,0,,
51,irabenta,"kalo kata teori konspirasi virus corona itu ga ada hanya akal akalan beberapa oknum terus yg selama ini kita periksa gene e, n, rdrp itu apaan dah? bulu belalang sembah???",2020-05-27 12:58:48+00:00,1,1,,
52,donokip,"Berharap para pengusaha agar tidak mudah mem-PHK karyawannya dengan alasan wabah virus corona. Dan kalaupun sudah terlanjur di PHK, pemerintah ada program kartuprakerja Para pekerja yang terkena pemutusan hubungan kerja (PHK) dan dirumahkan bisa ikut program kartupra kerja",2020-05-27 12:56:25+00:00,2,1,,
53,unilubis,"Yang bikin hastag new normal pulihkan ekonomi, apa gak belajar dr omongan2 sebelumnya? ""Siap perang lawan corona"", ternyata ngajak damai ""Virus corona sembuh sendiri"", ternyata meninggal (resmi) 1473 ""Virus Corona susah masuk ke RI karena izin berbelit2"", skrng udah 23.851 ",2020-05-27 12:27:15+00:00,2422,3995,,
55,masjohe,Di hp ku sdh di warning oleh sistem jgn pk zoom makanya coba pk laptop malah ada virus bernama Corona Lock,2020-05-27 10:51:48+00:00,0,0,,
56,hadiprayitno82,Corona is Virus. Capitalism and Oligarchy are Pandemic. #IdulFitri #tirakat2020,2020-05-27 10:03:24+00:00,0,2,,#IdulFitri #tirakat2020
58,KabarBintaro,"New normal tengah menjadi perbincangan hangat di tengah pandemi virus corona atau Covid-19. Berawal dari pemerintah pusat yang mencanangkan berdamai dengan Covid-19, narasi new normal muncul. Sekilas,… https://www.instagram.com/p/CArYjBXDelB/?igshid=1g25jtq80q5rv",2020-05-27 04:27:23+00:00,1,0,,
59,SonoraFM92,"Kepala Laboratorium Wuhan Akui Punya Virus Corona sejak Desember 2019, Sebut untuk Teliti SARS https://wow.tribunnews.com/2020/05/27/kepala-laboratorium-wuhan-akui-punya-virus-corona-sejak-desember-2019-sebut-untuk-teliti-sars #BeritaSonora via @tribunnews",2020-05-27 04:23:10+00:00,1,4,@tribunnews,#BeritaSonora
60,DahlanMahmud,"Sebobrok2nya penanganan covid 19 di jawa timur,lebih bobrok DKI yang cuma 10jt penduduk dgn APBD terbesar, tapi tidak bisa mengendalikan virus, Anies tetap gubernur terburuk dalam penanganan virus corona, Anies hanya mengandalkan retorika palsu tanpa kinerja menjanjikan warganya. ",2020-05-27 04:03:41+00:00,0,0,,
62,SonoraFM92,"Juru bicara pemerintah untuk penanganan virus corona (Covid-19) Achmad Yurianto mengatakan, penurunan jumlah kasus pasien positif Covid-19 beberapa hari terakhir bukan berarti Indonesia sudah mencapai puncak pandemi. http://nasional.kompas.com/read/2020/05/27/06090031/kasus-covid-19-turun-5-hari-berturut-turut-puncak-pandemi-sudah-lewat- #BeritaSonora via @kompascom",2020-05-27 01:56:09+00:00,0,1,@kompascom,#BeritaSonora
63,SonoraFM92,Pemerintah China di Wuhan melakukan tes virus corona terhadap 7 juta warganya dalam waktu 12 hari untuk cegah wabah gelombang kedua. https://www.kompas.com/global/read/2020/05/27/080000570/cegah-gelombang-kedua-covid-19-wuhan-tes-hampir-7-juta-orang-dalam-12 #BeritaSonora via @kompascom,2020-05-27 01:19:46+00:00,1,1,@kompascom,#BeritaSonora
64,sugito43334255,"Ini orang Islam bukan, mall dibuka,pasar ngablak, bandara buka, TKA China berseliweran asal virus Corona yg disalahkan masjid &amp; umat Islam",2020-05-27 00:29:02+00:00,0,3,,
65,tikiboediono,01:28 Tidur dalam perlindunganMU BAPA. Berikan Mujizat kesembuhan bagi keluargaku. Tak ada yang mustahil bagiMU. Enyahkan virus Corona dari bumi ini ya Yesus... ,2020-05-26 18:31:39+00:00,1,1,,
69,masjohe,"Laptopku kena virus Corona lock, semua naskah, foto dan video di hardisk rusak semua, minggu lalu instal zoom ",2020-05-26 13:13:55+00:00,0,2,,
72,Rohmat39639497,"Bila kecelakaan membunuh lebih banyak nyawa,dari pada virus corona..seharusnya jalan raya yg di tutup,bukan masjid yg gembok. ",2020-05-26 11:36:17+00:00,0,0,,
73,Hms44826300,"Aiptu Sucipto Halal bihalal Ramadhan 1441 H dengan Warga keluarga H. Noko (almarhum) kelurahan poris jaya di rt03 rw07 serta himbauan terkait virus corona di wilayah Kelurahan Poris jaya. Assalamu'alaikum, Wr, Wb,. Kegiatan pada hari Selasa Tanggal 26 Mei 2020 Jam : 10.30 .WIB. ",2020-05-26 11:25:54+00:00,0,0,,
74,CControws,@SOfficialband KEREN @JefryLiey Kegitan aksi lawan virus corona dari @JefryLiey beberapa waktu yg lalu... Ini bisa buat pemacu kita untuk terus #lawancorona @SOfficialband respect to @JefryLiey Terimakasih banyak… https://www.instagram.com/p/CApcmc7FhEY/?igshid=amtdte7dxy56,2020-05-26 10:27:28+00:00,1,0,@SOfficialband @JefryLiey @JefryLiey @SOfficialband @JefryLiey,#lawancorona
75,andrysulaiman77,https://news.detik.com/internasional/d-5028976/tanpa-lockdown-jepang-mampu-pertahankan-jumlah-kasus-corona-tetap-rendah Warga Tokyo di Jepang kembali ke jalanan dengan beberapa merasa lega dan beberapa merasa khawatir usai masa darurat virus Corona (COVID-19) dicabut.,2020-05-26 09:14:25+00:00,0,1,,
76,theRealBondan,"Semua yg terjadi udh diatur sm tuhan, medianya manusia. Mana mungkin manusia bertindak semaunya tanpa izin tuhan. Mau manusia bikin virus lebih mematikan dari corona kalau tuhan tidak mengizinkan tak akan terjadi. Semua atas kehendak tuhan.",2020-05-26 07:57:41+00:00,0,3,,
77,senanggel,"Sepi dan lengangnya Jakarta, saat Hari Raya Idulfitri 2020. Terlebih di tengah Pandemi Virus Corona (Covid-19). Ini adalah video perdana ©senang doc official. Selamat menonton. https://www.facebook.com/111651443835903/posts/132696021731445/ https://youtu.be/Vf6Wt6AsiS8 #senanggelstory #senanggelphoto #senanggeldoc",2020-05-26 07:38:10+00:00,1,1,,#senanggelstory #senanggelphoto #senanggeldoc
78,HTempuran,Anggota Polsek Tempuran bersama intansi terkait melaksanakan kegiatan PSBB di tempat wisata pantai Cibendo Desa Ciparagejaya Tempuran dalam rangka penutupan sementara tempat wisata untuk menekan penyebaran virus corona/ covid-19 ,2020-05-26 07:36:41+00:00,0,1,,
79,ganesadana,"Kalo virus flu burung bisa diberhentikan sama politik, berarti virus corona jg bisa diberhentikan sama politik nih.",2020-05-26 07:30:10+00:00,0,0,,
80,hasiholandd,"Menurutnya kegiatan normal baru di tengah pandemi COVID-19 ibarat dua mata uang, ada potensi untuk meningkatkan perekonomian, tapi ada risiko peningkatan kasus positif virus Corona.",2020-05-26 05:05:05+00:00,0,0,,
81,hasiholandd,https://finance.detik.com/berita-ekonomi-bisnis/d-5028455/new-normal-siap-berlaku-kabar-baik-atau-buruk-buat-ekonomi-ri Indonesia bersiap menghadapi era normal yang baru atau new normal pada kondisi pandemi virus Corona (COVID-19). Kabar baik atau buruk untuk ekonomi?,2020-05-26 05:05:05+00:00,0,0,,
82,samsalalala,"Corona kayanya ga bakalan ilang deh. Tapi dia nanti jadi virus yang ada di umum. Soalnya ngeliat dari jumlah penyebaran yang besar, jika terjadi lockdown satu negara, sama aja menghancurkan negara itu.",2020-05-26 04:55:22+00:00,0,0,,
83,SonoraFM92,"PM Belanda, Mark Rutte, tidak bisa datang saat ibunya meninggal karena mematuhi aturan pencegahan virus corona. http://www.kompas.com/global/read/2020/05/26/071607570/patuh-aturan-pencegahan-virus-corona-pm-belanda-tak-datang-saat-ibunya #BeritaSonora via @kompascom",2020-05-26 04:26:41+00:00,0,0,@kompascom,#BeritaSonora
84,nindiayuwono,"Welcome ""new normal"". Siap ngga siap kudu tetep dijalani. Semoga protokol kesehatan, jaga kebersihan sekecil apapun tetep dijaga semua orang. Terutama physical distancing. Mengingat kita semua ngga pernah tau kapan hilangnya virus corona.",2020-05-26 04:02:26+00:00,0,0,,
85,SonoraFM92,WHO Hentikan Uji Coba Hidroksiklorokuin sebagai Obat Virus Corona https://www.kompas.com/global/read/2020/05/26/101427170/who-hentikan-uji-coba-hidroksiklorokuin-sebagai-obat-virus-corona #BeritaSonora via @kompascom,2020-05-26 03:57:00+00:00,0,0,@kompascom,#BeritaSonora
86,todeyyy,"terus gue bertanya pada diri gue sendiri, “apakah wong kite lake ngaruhe pade virus corona?” “ape iye jeh, uwonge pada kuat2?” omaigatttttttttttt",2020-05-26 03:18:12+00:00,0,0,,
87,SonoraFM92,WHO Tunda Uji Coba Obat Hidroksiklorokuin untuk Pengobatan Virus Corona https://m.tribunnews.com/amp/internasional/2020/05/26/who-tunda-uji-coba-obat-hidroksiklorokuin-untuk-pengobatan-virus-corona #BeritaSonora via @tribunnews,2020-05-26 03:01:45+00:00,0,0,@tribunnews,#BeritaSonora
88,SonoraFM92,"Bagi warga yang telah meninggalkan Jabodetabek sebelum lebaran, diminta tidak buru-buru kembali ke Jabodetabek untuk mencegah persebaran virus Corona. Dan jika ingin bisa kembali ke Jabodetabek harus mengurus SIKM dahulu di https://s.id/SIKMJabodetabek #BeritaSonora via @kemkominfo",2020-05-26 02:49:03+00:00,0,1,@kemkominfo,#BeritaSonora
89,SonoraFM92,Pemerintah mewajibkan penggunaan masker bagi para pekerja saat berada di tempat kerja selama pandemi virus corona atau Covid-19. https://nasional.kompas.com/read/2020/05/26/08354371/panduan-new-normal-pekerja-wajib-pakai-masker-di-tempat-kerja #BeritaSonora via @kompascom,2020-05-26 01:48:24+00:00,1,2,@kompascom,#BeritaSonora
90,madroni01730783,"Piket Pospam Kuta Bumi anjangsana dan silatirahmi ke Pos kamling gelam jaya Kec.pasar kemis Kab. Tangerang, dengan tokoh Masyarakat (warga) menyampaikan Himbau untuk selalu antisipasi Curas, Curan, Curat Menyampaikan Himbauan pesan kamtibmas pencagahan virus corona / Covid-19 ",2020-05-26 00:21:17+00:00,0,0,,
91,Kiki_Almunawar,Hari Raya Idul Fitri Sudah Berakhir . Tinggal Virus Corona Aja Yang Belum Berakhir !,2020-05-26 00:05:31+00:00,0,0,,
93,sautharitonang,"China gov't is not gov't... They are like animals in ""national GEOGRAFIS CHANEL"".... They eat everything's as the predators... That's CHINA gov't... Remember the corona-convid19, they product virus to making world be their breakfast lunch and dinner... Sad ",2020-05-25 22:34:32+00:00,0,1,,
94,Dul_s_,"Huhu corona oh corona, kampret juga lama2 nih virus!!! Gua pengen naek gunung ini... ",2020-05-25 17:27:08+00:00,0,1,,
95,notursugarbabyy,Ini virus corona kalo menjelma jadi manusia bakal digebukin kali ya trus bikin video klarifikasi sama minta maaf di sosmed,2020-05-25 15:41:12+00:00,0,0,,
96,pridho42,@jokowi pak jgn impor apapun lagi dari china. Negara tersebut ga bisa dipercaya. Ini buktinya akhir mereka ngaku simpan virus corona ada 3 jenis lagi. Sama satu lagi jgn ngutang ke china iya pak. Berapa pun nominalnya. ,2020-05-25 15:23:50+00:00,0,0,@jokowi,
97,VenueMagz,Cara Mencegah Virus Corona di Ruang Publik . Penyebaran Virus corona harus diwaspadai oleh semua orang terutama bagi mereka yang sering menggunakan transportasi umum. Karena besar kemungkinan kalian untuk… https://www.instagram.com/p/CAnTx3gFhuW/?igshid=1g1fhcs6kcwc0,2020-05-25 14:28:44+00:00,0,0,,
98,p_ari72,"oke, kita sebagai manusia ga boleh tuh ganggu yg nama nya Corona. laah Corona nya gimana terhadap kita bisa berdamai ga, laah Corona itu virus loh kok di ajak berdamai ",2020-05-25 13:06:57+00:00,0,0,,
99,SINDOnews,"Update Virus Corona di Sulsel 25 Mei: Bertambah 23, Total Kasus Positif 1.319 ",2020-05-25 12:20:06+00:00,0,0,,
60,RianceManik,Hal yg kita anggap normal dan wajar menjadi sesuatu yg tidak diperbolehkan dan dilarang karena virus Corona ini. #sedih #coronavirus #COVID__19 #tweetserius,2020-05-21 04:30:56+00:00,0,0,,#sedih #coronavirus #COVID__19 #tweetserius
61,IdrisBaros,"Ini lagi wagub, kemaren Presiden ngajak Damai sekarang Wagub ngajak Berdansa .. Gini amat nasib warga jakarta ... https://m.cnnindonesia.com/nasional/20200520191952-20-505470/wagub-dki-ajak-warga-berdansa-dengan-corona #jakartakeras #coronavirus #kamisambyar",2020-05-21 00:52:57+00:00,0,1,,#jakartakeras #coronavirus #kamisambyar
62,indahnuria,"Dengan tetap mematuhi protokol kesehatan selama #coronavirus #covid19 pandemic, Alhamdulillaaaah #sagamultilateral #webinarseries #inidiplomasi #indonesiauntukdunia berhasil dilaksanakan dengan baik. Kuddooos untuk… https://www.instagram.com/p/CAajl6eAl5R/?igshid=1chpa4g4bcxtx",2020-05-20 15:36:49+00:00,0,0,,#coronavirus #covid19 #sagamultilateral #webinarseries #inidiplomasi #indonesiauntukdunia
64,Midoenesia_Raya,#comica #dunia #sembuh #dari #covid19 #atau #coronavirus @Dunia https://www.instagram.com/p/CAZhLhNgWdP/?igshid=1lgm907jbxlqk,2020-05-20 05:56:28+00:00,0,0,,#comica #dunia #sembuh #dari #covid19 #atau #coronavirus
66,mhmdakbar7,Semoga Tuham Memaafkanmu #art #alone #iseng #coronavirus #menyebabkan #dompetkosong @Sendirian Merindukanmu Yg Jauh Disana https://www.instagram.com/p/CAYsXWZFOXL/?igshid=z8ju2mjwifcy,2020-05-19 22:14:57+00:00,0,0,,#art #alone #iseng #coronavirus #menyebabkan #dompetkosong
69,uddin_bireun,Proses PO WA 082111843838 HP 085890098540 #coronavirus #covid #covid19 @http://maha-karya.com https://www.instagram.com/p/CAXuKAVHBag/?igshid=1cpdub3ay6gfs,2020-05-19 13:11:22+00:00,0,0,,#coronavirus #covid #covid19
70,FinoAllaFine_I,alhamdullilah tes ke 4 #StaySafeStayHealthy #CoronaVirus ,2020-05-19 07:51:37+00:00,0,0,,#StaySafeStayHealthy #CoronaVirus
72,OhMyLons,"Ramadhan tahun ini, di tengah wabah pandemi #coronavirus tdk terasa bgt euforia nya dan tbtb udh mau lebaran aja Btw ada yg sepikiran sama gw kah? #Ramadhan #Ramadhan2020 – at Bintaro Jaya Sektor 1",2020-05-18 21:52:38+00:00,0,1,,#coronavirus #Ramadhan #Ramadhan2020
73,RiaTumimomor,Semoga beristirahat dgn tenang. Kelg dikuatkan ... amin #coronavirus ,2020-05-18 14:51:34+00:00,0,0,,#coronavirus
74,leo_skarnow,Fix hampir sebulan tidak #stayhome #dirumahaja karena selalu melanggar #psbb untuk kalian semua orang yang mungkin tidak perduli akan keberlangsungan dampak dari #coronavirus ini sehingga setiap hari selalu nongski… https://www.instagram.com/p/CAVKLTshQfm/?igshid=1scjofooms11g,2020-05-18 13:18:32+00:00,0,0,,#stayhome #stayhome #dirumahaja #dirumahaja #psbb #coronavirus
75,KikiBinoL,Bismillahirrahmanirrahim.. Good morning-selamat pagi.. mari mencari rezeki Tumben kangen Ama kantor wkwkw #coronavirus #workfromoffice #@Equity Tower https://www.instagram.com/p/CAT5hhaHbzM8lrUmOfyk771wNFsya4uFeag5aY0/?igshid=1dea3n66wm9q0,2020-05-18 01:33:43+00:00,0,0,,#coronavirus #workfromoffice
76,enihardi_adv,#dirumahaja Nonton youtube @enihardi_fish https://youtu.be/2T5Gv1bECY8 #coronavirus #sundayvibes #SundayFunday #FolloMe #folowtrick #follotrick #folllowme #follwtrick #YouTube #Creative #Creator #content #SmallBusiness,2020-05-17 03:56:23+00:00,2,12,@enihardi_fish,#dirumahaja #dirumahaja #coronavirus #sundayvibes #SundayFunday #FolloMe #folowtrick #follotrick #folllowme #follwtrick #YouTube #Creative #Creator #content #SmallBusiness
77,GHatmadja,Salahkah? #puisipendek #puisimalam #puisisenja #puisiambyar #puisigalau #galau #salah #salahkah #hitz #viral #viral #viralindonesia #sedih #berpisah #LagiViral #TikTok #sastra #karya #anakindonesia #coronavirus ,2020-05-16 15:25:56+00:00,0,0,,#puisipendek #puisimalam #puisisenja #puisiambyar #puisigalau #galau #salah #salahkah #hitz #viral #viral #viralindonesia #sedih #berpisah #LagiViral #TikTok #sastra #karya #anakindonesia #coronavirus
78,fardyfandy,Postingan tema Ramadhan sajalah.... Ketika berbelanja tetap mengikuti protokol kesehatan yakk.. #giant #IndonesiaMelawanCovid19 #coronavirus go away – at Mesjid Giant CBD Bintaro,2020-05-16 14:55:00+00:00,0,0,,#giant #IndonesiaMelawanCovid19 #coronavirus
79,sigitpl72,Ya Tuhan setiap hati ku berdoa agar pandemic COVID-19 segera berakhir I hope God will grant my prayer. Aamiin #coronavirus #likeforfollow #instalike #lfl #covid19 #pandemic @Starbucks Galuh https://www.instagram.com/p/CAPvXZjDpaL/?igshid=1dvnmpf3kjfp6,2020-05-16 10:48:01+00:00,0,0,,#coronavirus #likeforfollow #instalike #lfl #covid19 #pandemic
81,Nhaherliany_,Efek #StayAtHome #MudikTetapDilarang #gabisamudik #coronavirus Tiktokan lagi aja #loveyourself sesederhana bahagia ku ,2020-05-15 14:54:56+00:00,0,1,,#StayAtHome #StayAtHome #MudikTetapDilarang #gabisamudik #coronavirus #loveyourself
82,dinkazikra,"""Updates on the Covid-19 situation in Indonesia"" #coronavirus ",2020-05-15 14:45:20+00:00,0,0,,#coronavirus
83,ReportNewsLive,Ini syarat dan cara membuat surat izin keluar-masuk DKI Jakarta selama #PSBB #PSBBJakarta #coronavirus ,2020-05-15 14:06:13+00:00,0,0,,#PSBB #PSBBJakarta #coronavirus
84,enihardi_adv,#dirumahsaja Tonton #youtube channel @enihardi_fish ya! https://youtu.be/HKNDGBSGh-c #COVID19 #covidsafe #coronavirus #CoronaLockdown #folllowme #FOLLLOW #FolloMe #follomeplease #follotrick #folowtrick #follwtrick #pandemic #Lockdown3,2020-05-15 13:03:49+00:00,2,8,@enihardi_fish,#dirumahsaja #dirumahsaja #youtube #COVID19 #covidsafe #coronavirus #CoronaLockdown #folllowme #FOLLLOW #FolloMe #follomeplease #follotrick #folowtrick #follwtrick #pandemic #Lockdown3
85,invictusnick,"never thought i'd see the day where this mall would be like this. all the stores are closed, feels abandoned. #mall #abandoned #coronavirus #Quarantine #empty #closed #SocialDistanacing #IndonesiaMelawanCovid19 #Lockdown3 #Karantina – at AEON Supermarket",2020-05-15 12:08:25+00:00,0,2,,#mall #abandoned #coronavirus #Quarantine #empty #closed #SocialDistanacing #IndonesiaMelawanCovid19 #Lockdown3 #Karantina
86,MiaTaniaS,"Kalau soal membantu sesama , bangsa kita TIDAK usah diragukan / disuruh lagi sudah dengan sendirinya tolong menolong.... #OrangKayaGakTau #MudikTetapDilarang #coronavirus #Bukapuasa #Ramadan2020 #bukber – at Emerald view",2020-05-15 10:28:43+00:00,0,1,,#OrangKayaGakTau #MudikTetapDilarang #coronavirus #Bukapuasa #Ramadan2020 #bukber
87,ya2k,"Ready Stock Corona Finger, meminimalisir sentuhan menggunakan jari jemarimu disaat beraktifitas. #dirumahaja #coronavirus #covid19 @Jakarta, Indonesia https://www.instagram.com/p/CAMs1OXAhLi/?igshid=1aandl0gss9ia",2020-05-15 06:28:09+00:00,0,0,,#dirumahaja #dirumahaja #coronavirus #covid19
88,ya2k,"Ready Stock Corona Finger, meminimalisir sentuhan menggunakan jari jemarimu disaat beraktifitas. #dirumahaja #coronavirus #covid19 @Jakarta, Indonesia https://www.instagram.com/p/CAMstlsgpUq/?igshid=dsg726qti14a",2020-05-15 06:27:07+00:00,0,0,,#dirumahaja #dirumahaja #coronavirus #covid19
89,Senzala_aga,Nyata! #BPJSNaikLagi #coronavirus,2020-05-15 06:26:53+00:00,0,0,,#BPJSNaikLagi #coronavirus
90,TabloidBintang,"Peran media dalam menyampaikan informasi yang kredibel menjadi salah satu kunci dalam penanganan pandemi covid-19. Publik berhak tahu setiap informasi yang dibutuhkan untuk menyelamatkan kehidupannya. Selamatkan warga, UMKM, dunia usaha, dan Pers Indonesia! #coronavirus #AMSI – at Republik Indonesia",2020-05-14 05:40:47+00:00,1,1,,#coronavirus #AMSI
91,TabloidBintang,"Peran media dalam menyampaikan informasi yang kredibel menjadi salah satu kunci dalam penanganan pandemi covid-19. Publik berhak tahu setiap informasi yang dibutuhkan untuk menyelamatkan kehidupannya. Selamatkan warga, UMKM, dunia usaha, dan Pers Indonesia! #coronavirus #AMSI – at Republik Indonesia",2020-05-14 05:39:51+00:00,0,0,,#coronavirus #AMSI
92,ubsibekasi,ada pada bio kami.⁣ #kuliahbsiaja #ubsi #universitasbinasaranainformatika #webinar #seminaronline #webinar2020 #dirumahaja #mtryout #milenianews #change #normal #habbiet #fightingcovid #covid #covid19 #coronavirus #kampuspontianak #kuliahpontianak #eventpontianak,2020-05-14 04:25:29+00:00,0,0,,#kuliahbsiaja #ubsi #universitasbinasaranainformatika #webinar #seminaronline #webinar2020 #dirumahaja #dirumahaja #mtryout #milenianews #change #normal #habbiet #fightingcovid #covid #covid19 #coronavirus #kampuspontianak #kuliahpontianak #eventpontianak
93,Masagiel,Panjang umur akal sehat. . Thanks to ryanadityarahman #katamasagiel #urbanquotes #kaoshitam #kaoskatakata #kaosquotes #mood #kopihitam #rokok #rokokindonesia #sebats #kopi #ngopi #coronavirus #covid19… https://www.instagram.com/p/CAIxk38nDr1/?igshid=159fpxviiwhpy,2020-05-13 17:52:38+00:00,0,0,,#katamasagiel #urbanquotes #kaoshitam #kaoskatakata #kaosquotes #mood #kopihitam #rokok #rokokindonesia #sebats #kopi #ngopi #coronavirus #covid19
94,joehanes,Jaga Pola Makan #sehat #HealthyEating Hindari #coronavirus Eat #VEGETABLES after #fasting #puasa,2020-05-13 17:00:41+00:00,9,16,,#sehat #HealthyEating #coronavirus #VEGETABLES #fasting #puasa
95,BudiSimanjun,best photo #StayHome #coronavirus #COVID__19,2020-05-13 16:50:49+00:00,0,1,,#StayHome #StayHome #coronavirus #COVID__19
96,EGYTABAHAR,Assalamualaikum kamu solat tawareh ga? #rajagoyang #egytabahar #maueksis #goyangmrhappy #happy #love #ramadhan2020 #ramadhan #dirumahaja melawan #coronavirus #covid19 Alhamdulillah #semakintuasemakinbahagia… https://www.instagram.com/p/CAIQxwCHfeT/?igshid=1o0u8jy6k48wx,2020-05-13 13:06:02+00:00,0,0,,#rajagoyang #egytabahar #maueksis #goyangmrhappy #happy #love #ramadhan2020 #ramadhan #dirumahaja #dirumahaja #coronavirus #covid19 #semakintuasemakinbahagia
